test_id,expected_lang,expected_domain,expected_length,text_length,word_count,predicted_domain,domain_confidence,detected_lang,complexity,domain_correct,lang_correct,status
en_medical_short,en,medical,short,12,3,medical,0.4286,da,0.2193,True,False,PASS
en_medical_medium,en,medical,medium,46,8,medical,0.5657,en,0.2671,True,True,PASS
en_medical_long,en,medical,long,124,16,medical,0.6602,en,0.3162,True,True,PASS
en_legal_short,en,legal,short,17,3,legal,0.4365,en,0.2353,True,True,PASS
en_legal_medium,en,legal,medium,50,8,legal,0.7316,en,0.2779,True,True,PASS
en_legal_long,en,legal,long,114,17,legal,0.7763,en,0.3176,True,True,PASS
en_technical_short,en,technical,short,17,3,technical,0.409,en,0.2353,True,True,PASS
en_technical_medium,en,technical,medium,57,8,technical,0.4802,en,0.2859,True,True,PASS
en_technical_long,en,technical,long,127,15,technical,0.2916,en,0.3078,True,True,PASS
en_finance_short,en,finance,short,17,3,general,0.3302,en,0.2353,False,True,FAIL
en_finance_medium,en,finance,medium,55,7,finance,0.3329,en,0.2531,True,True,PASS
en_finance_long,en,finance,long,132,16,finance,0.5031,en,0.3122,True,True,PASS
en_casual_short,en,casual,short,11,3,casual,0.628,en,0.2188,True,True,PASS
en_casual_medium,en,casual,medium,39,8,casual,0.8271,en,0.2695,True,True,PASS
en_casual_long,en,casual,long,104,21,casual,0.7181,en,0.2911,True,True,PASS
hi_medical_short,hi,medical,short,13,3,medical,0.2362,hi,0.2093,True,True,PASS
hi_medical_medium,hi,medical,medium,37,8,medical,0.7441,hi,0.2905,True,True,PASS
hi_medical_long,hi,medical,long,93,18,medical,0.6672,hi,0.3194,True,True,PASS
bn_medical_short,bn,medical,short,13,3,medical,0.4405,bn,0.2036,True,True,PASS
bn_medical_medium,bn,medical,medium,39,6,medical,0.4492,bn,0.2431,True,True,PASS
bn_medical_long,bn,medical,long,66,9,medical,0.73,bn,0.3144,True,True,PASS
ta_medical_short,ta,medical,short,23,3,medical,0.2362,ta,0.2075,True,True,PASS
ta_medical_medium,ta,medical,medium,42,5,legal,0.2591,ta,0.2564,False,True,FAIL
ta_medical_long,ta,medical,long,79,9,legal,0.2591,ta,0.3153,False,True,FAIL
te_medical_short,te,medical,short,15,3,medical,0.2362,te,0.2093,True,True,PASS
te_medical_medium,te,medical,medium,32,5,medical,0.2362,te,0.2255,True,True,PASS
te_medical_long,te,medical,long,65,9,medical,0.2362,te,0.3131,True,True,PASS
kn_medical_short,kn,medical,short,13,2,medical,0.2362,kn,0.1987,True,True,PASS
kn_medical_medium,kn,medical,medium,29,5,medical,0.1876,kn,0.2189,True,True,PASS
kn_medical_long,kn,medical,long,69,8,medical,0.1876,kn,0.304,True,True,PASS
as_medical_short,as,medical,short,12,3,medical,0.4178,bn,0.2026,True,False,PASS
as_medical_medium,as,medical,medium,27,6,medical,0.2537,bn,0.2055,True,False,PASS
as_medical_long,as,medical,long,65,9,medical,0.3716,bn,0.316,True,False,PASS
